Pair 0[1]: Avg MSE: 547.87, Avg SSIM: 0.87
Pair 14[3]: Avg MSE: 443.36, Avg SSIM: 0.89
Pair 14[4]: Avg MSE: 456.64, Avg SSIM: 0.89
Pair 14[5]: Avg MSE: 471.15, Avg SSIM: 0.89
Pair 14[6]: Avg MSE: 483.44, Avg SSIM: 0.89
Pair 14[7]: Avg MSE: 494.73, Avg SSIM: 0.89
Pair 14[8]: Avg MSE: 506.42, Avg SSIM: 0.89
Pair 14[9]: Avg MSE: 517.36, Avg SSIM: 0.89
Pair 14[10]: Avg MSE: 527.38, Avg SSIM: 0.89
Pair 15[1]: Avg MSE: 253.55, Avg SSIM: 0.89
Pair 15[2]: Avg MSE: 267.13, Avg SSIM: 0.89
Pair 15[3]: Avg MSE: 278.27, Avg SSIM: 0.89
Pair 15[4]: Avg MSE: 287.43, Avg SSIM: 0.89
Pair 15[5]: Avg MSE: 297.67, Avg SSIM: 0.89
Pair 15[6]: Avg MSE: 307.55, Avg SSIM: 0.88
Pair 15[7]: Avg MSE: 318.67, Avg SSIM: 0.88
Pair 15[8]: Avg MSE: 328.82, Avg SSIM: 0.88
Pair 15[9]: Avg MSE: 337.36, Avg SSIM: 0.88
Pair 15[10]: Avg MSE: 345.54, Avg SSIM: 0.88
Pair 16[1]: Avg MSE: 300.66, Avg SSIM: 0.92
Pair 16[2]: Avg MSE: 311.76, Avg SSIM: 0.92
Pair 16[3]: Avg MSE: 321.50, Avg SSIM: 0.92
Pair 16[4]: Avg MSE: 331.65, Avg SSIM: 0.92
Pair 16[5]: Avg MSE: 341.68, Avg SSIM: 0.92
Pair 16[6]: Avg MSE: 350.48, Avg SSIM: 0.92
Pair 16[7]: Avg MSE: 360.20, Avg SSIM: 0.92
Pair 16[8]: Avg MSE: 369.20, Avg SSIM: 0.92
Pair 16[9]: Avg MSE: 376.36, Avg SSIM: 0.92
Pair 16[10]: Avg MSE: 383.54, Avg SSIM: 0.92
Pair 17[1]: Avg MSE: 365.69, Avg SSIM: 0.91
Pair 17[2]: Avg MSE: 379.06, Avg SSIM: 0.91
Pair 17[3]: Avg MSE: 392.36, Avg SSIM: 0.91
Pair 17[4]: Avg MSE: 403.10, Avg SSIM: 0.91
Pair 17[5]: Avg MSE: 415.15, Avg SSIM: 0.91
Pair 17[6]: Avg MSE: 427.55, Avg SSIM: 0.91
Pair 17[7]: Avg MSE: 440.07, Avg SSIM: 0.90
Pair 17[8]: Avg MSE: 454.40, Avg SSIM: 0.90
Pair 17[9]: Avg MSE: 464.12, Avg SSIM: 0.90
Pair 17[10]: Avg MSE: 473.55, Avg SSIM: 0.90
Pair 18[1]: Avg MSE: 367.70, Avg SSIM: 0.91
Pair 18[2]: Avg MSE: 377.79, Avg SSIM: 0.91
Pair 18[3]: Avg MSE: 388.41, Avg SSIM: 0.91
Pair 18[4]: Avg MSE: 396.48, Avg SSIM: 0.91
Pair 18[5]: Avg MSE: 406.47, Avg SSIM: 0.91
Pair 18[6]: Avg MSE: 416.04, Avg SSIM: 0.91
Pair 18[7]: Avg MSE: 424.24, Avg SSIM: 0.91
Pair 18[8]: Avg MSE: 434.89, Avg SSIM: 0.91
Pair 18[9]: Avg MSE: 442.27, Avg SSIM: 0.91
Pair 18[10]: Avg MSE: 452.10, Avg SSIM: 0.90
Pair 19[1]: Avg MSE: 309.93, Avg SSIM: 0.89
Pair 19[2]: Avg MSE: 323.64, Avg SSIM: 0.89
Pair 19[3]: Avg MSE: 336.54, Avg SSIM: 0.89
Pair 19[4]: Avg MSE: 346.33, Avg SSIM: 0.89
Pair 19[5]: Avg MSE: 358.64, Avg SSIM: 0.89
Pair 19[6]: Avg MSE: 370.05, Avg SSIM: 0.89
Pair 19[7]: Avg MSE: 383.20, Avg SSIM: 0.89
Pair 19[8]: Avg MSE: 396.65, Avg SSIM: 0.89
Pair 19[9]: Avg MSE: 405.20, Avg SSIM: 0.89
Pair 19[10]: Avg MSE: 415.23, Avg SSIM: 0.89
Pair 20[1]: Avg MSE: 134.90, Avg SSIM: 0.94
Pair 20[2]: Avg MSE: 139.35, Avg SSIM: 0.94
Pair 20[3]: Avg MSE: 142.94, Avg SSIM: 0.94
Pair 20[4]: Avg MSE: 145.92, Avg SSIM: 0.94
Pair 20[5]: Avg MSE: 149.82, Avg SSIM: 0.94
Pair 20[6]: Avg MSE: 153.24, Avg SSIM: 0.94
Pair 20[7]: Avg MSE: 158.09, Avg SSIM: 0.94
Pair 20[8]: Avg MSE: 162.56, Avg SSIM: 0.94
Pair 20[9]: Avg MSE: 165.96, Avg SSIM: 0.94
Pair 20[10]: Avg MSE: 168.99, Avg SSIM: 0.94
Pair 21[1]: Avg MSE: 407.61, Avg SSIM: 0.90
Pair 21[2]: Avg MSE: 436.40, Avg SSIM: 0.90
Pair 21[3]: Avg MSE: 465.30, Avg SSIM: 0.90
Pair 21[4]: Avg MSE: 494.00, Avg SSIM: 0.89
Pair 21[5]: Avg MSE: 518.93, Avg SSIM: 0.89
Pair 21[6]: Avg MSE: 542.99, Avg SSIM: 0.89
Pair 21[7]: Avg MSE: 565.93, Avg SSIM: 0.89
Pair 21[8]: Avg MSE: 589.83, Avg SSIM: 0.89
Pair 21[9]: Avg MSE: 608.78, Avg SSIM: 0.89
Pair 21[10]: Avg MSE: 625.75, Avg SSIM: 0.88
Pair 22[1]: Avg MSE: 301.01, Avg SSIM: 0.91
Pair 22[2]: Avg MSE: 321.08, Avg SSIM: 0.91
Pair 22[3]: Avg MSE: 342.43, Avg SSIM: 0.91
Pair 22[4]: Avg MSE: 360.28, Avg SSIM: 0.91
Pair 22[5]: Avg MSE: 377.90, Avg SSIM: 0.91
Pair 22[6]: Avg MSE: 395.08, Avg SSIM: 0.90
Pair 22[7]: Avg MSE: 411.09, Avg SSIM: 0.90
Pair 22[8]: Avg MSE: 426.77, Avg SSIM: 0.90
Pair 22[9]: Avg MSE: 439.91, Avg SSIM: 0.90
Pair 22[10]: Avg MSE: 453.02, Avg SSIM: 0.90
Pair 23[1]: Avg MSE: 169.89, Avg SSIM: 0.93
Pair 23[2]: Avg MSE: 176.69, Avg SSIM: 0.93
Pair 23[3]: Avg MSE: 182.02, Avg SSIM: 0.93
Pair 23[4]: Avg MSE: 187.15, Avg SSIM: 0.93
Pair 23[5]: Avg MSE: 192.61, Avg SSIM: 0.93
Pair 23[6]: Avg MSE: 197.76, Avg SSIM: 0.93
Pair 23[7]: Avg MSE: 203.48, Avg SSIM: 0.93
Pair 23[8]: Avg MSE: 208.60, Avg SSIM: 0.93
Pair 23[9]: Avg MSE: 214.19, Avg SSIM: 0.93
Pair 23[10]: Avg MSE: 217.79, Avg SSIM: 0.92
Pair 24[1]: Avg MSE: 495.26, Avg SSIM: 0.87
Pair 24[2]: Avg MSE: 511.75, Avg SSIM: 0.87
Pair 24[3]: Avg MSE: 527.30, Avg SSIM: 0.87
Pair 24[4]: Avg MSE: 540.80, Avg SSIM: 0.87
Pair 24[5]: Avg MSE: 557.01, Avg SSIM: 0.87
Pair 24[6]: Avg MSE: 573.28, Avg SSIM: 0.87
Pair 24[7]: Avg MSE: 587.58, Avg SSIM: 0.87
Pair 24[8]: Avg MSE: 602.47, Avg SSIM: 0.86
Pair 24[9]: Avg MSE: 613.03, Avg SSIM: 0.86
Pair 24[10]: Avg MSE: 626.02, Avg SSIM: 0.86
Pair 25[1]: Avg MSE: 657.74, Avg SSIM: 0.82
Pair 25[2]: Avg MSE: 683.26, Avg SSIM: 0.82
Pair 25[3]: Avg MSE: 709.17, Avg SSIM: 0.81
Pair 25[4]: Avg MSE: 734.26, Avg SSIM: 0.81
Pair 25[5]: Avg MSE: 763.87, Avg SSIM: 0.81
Pair 25[6]: Avg MSE: 793.20, Avg SSIM: 0.81
Pair 25[7]: Avg MSE: 818.05, Avg SSIM: 0.81
Pair 25[8]: Avg MSE: 841.31, Avg SSIM: 0.81
Pair 25[9]: Avg MSE: 862.23, Avg SSIM: 0.81
Pair 25[10]: Avg MSE: 883.53, Avg SSIM: 0.80
Pair 26[1]: Avg MSE: 752.20, Avg SSIM: 0.81
Pair 26[2]: Avg MSE: 770.53, Avg SSIM: 0.81
Pair 26[3]: Avg MSE: 785.57, Avg SSIM: 0.81
Pair 26[4]: Avg MSE: 811.17, Avg SSIM: 0.81
Pair 26[5]: Avg MSE: 835.29, Avg SSIM: 0.81
Pair 26[6]: Avg MSE: 854.66, Avg SSIM: 0.80
Pair 26[7]: Avg MSE: 873.01, Avg SSIM: 0.80
Pair 26[8]: Avg MSE: 893.87, Avg SSIM: 0.80
Pair 26[9]: Avg MSE: 910.79, Avg SSIM: 0.80
Pair 26[10]: Avg MSE: 930.16, Avg SSIM: 0.80
Pair 27[1]: Avg MSE: 173.06, Avg SSIM: 0.91
Pair 27[2]: Avg MSE: 181.91, Avg SSIM: 0.91
Pair 27[3]: Avg MSE: 190.18, Avg SSIM: 0.91
Pair 27[4]: Avg MSE: 197.15, Avg SSIM: 0.91
Pair 27[5]: Avg MSE: 203.67, Avg SSIM: 0.91
Pair 27[6]: Avg MSE: 210.92, Avg SSIM: 0.91
Pair 27[7]: Avg MSE: 219.78, Avg SSIM: 0.91
Pair 27[8]: Avg MSE: 227.11, Avg SSIM: 0.91
Pair 27[9]: Avg MSE: 233.14, Avg SSIM: 0.91
Pair 27[10]: Avg MSE: 239.55, Avg SSIM: 0.91
Pair 28[1]: Avg MSE: 245.07, Avg SSIM: 0.89
Pair 28[2]: Avg MSE: 255.52, Avg SSIM: 0.89
Pair 28[3]: Avg MSE: 264.85, Avg SSIM: 0.89
Pair 28[4]: Avg MSE: 272.74, Avg SSIM: 0.89
Pair 28[5]: Avg MSE: 280.14, Avg SSIM: 0.89
Pair 28[6]: Avg MSE: 290.28, Avg SSIM: 0.89
Pair 28[7]: Avg MSE: 300.40, Avg SSIM: 0.89
Pair 28[8]: Avg MSE: 311.48, Avg SSIM: 0.89
Pair 28[9]: Avg MSE: 318.60, Avg SSIM: 0.88
Pair 28[10]: Avg MSE: 325.41, Avg SSIM: 0.88
Pair 29[1]: Avg MSE: 289.59, Avg SSIM: 0.92
Pair 29[2]: Avg MSE: 300.11, Avg SSIM: 0.92
Pair 29[3]: Avg MSE: 309.23, Avg SSIM: 0.92
Pair 29[4]: Avg MSE: 318.54, Avg SSIM: 0.92
Pair 29[5]: Avg MSE: 328.34, Avg SSIM: 0.92
Pair 29[6]: Avg MSE: 337.10, Avg SSIM: 0.92
Pair 29[7]: Avg MSE: 345.00, Avg SSIM: 0.92
Pair 29[8]: Avg MSE: 352.15, Avg SSIM: 0.91
Pair 29[9]: Avg MSE: 359.91, Avg SSIM: 0.91
Pair 29[10]: Avg MSE: 365.64, Avg SSIM: 0.91
Pair 30[1]: Avg MSE: 142.83, Avg SSIM: 0.92
Pair 30[2]: Avg MSE: 150.99, Avg SSIM: 0.92
Pair 30[3]: Avg MSE: 159.47, Avg SSIM: 0.92
Pair 30[4]: Avg MSE: 166.80, Avg SSIM: 0.92
Pair 30[5]: Avg MSE: 173.02, Avg SSIM: 0.92
Pair 30[6]: Avg MSE: 179.43, Avg SSIM: 0.92
Pair 30[7]: Avg MSE: 184.99, Avg SSIM: 0.91
Pair 30[8]: Avg MSE: 192.45, Avg SSIM: 0.91
Pair 30[9]: Avg MSE: 197.66, Avg SSIM: 0.91
Pair 30[10]: Avg MSE: 203.42, Avg SSIM: 0.91
Pair 31[1]: Avg MSE: 162.01, Avg SSIM: 0.93
Pair 31[2]: Avg MSE: 170.19, Avg SSIM: 0.93
Pair 31[3]: Avg MSE: 176.93, Avg SSIM: 0.93
Pair 31[4]: Avg MSE: 184.13, Avg SSIM: 0.93
Pair 31[5]: Avg MSE: 191.20, Avg SSIM: 0.93
Pair 31[6]: Avg MSE: 196.55, Avg SSIM: 0.93
Pair 31[7]: Avg MSE: 201.99, Avg SSIM: 0.93
Pair 31[8]: Avg MSE: 208.54, Avg SSIM: 0.93
Pair 31[9]: Avg MSE: 213.92, Avg SSIM: 0.93
Pair 31[10]: Avg MSE: 217.92, Avg SSIM: 0.93
Pair 32[1]: Avg MSE: 241.25, Avg SSIM: 0.93
Pair 32[2]: Avg MSE: 256.14, Avg SSIM: 0.93
Pair 32[3]: Avg MSE: 270.37, Avg SSIM: 0.93
Pair 32[4]: Avg MSE: 281.13, Avg SSIM: 0.93
Pair 32[5]: Avg MSE: 293.53, Avg SSIM: 0.93
Pair 32[6]: Avg MSE: 307.84, Avg SSIM: 0.93
Pair 32[7]: Avg MSE: 321.08, Avg SSIM: 0.92
Pair 32[8]: Avg MSE: 335.57, Avg SSIM: 0.92
Pair 32[9]: Avg MSE: 345.23, Avg SSIM: 0.92
Pair 32[10]: Avg MSE: 356.01, Avg SSIM: 0.92
Pair 33[1]: Avg MSE: 358.25, Avg SSIM: 0.87
Pair 33[2]: Avg MSE: 368.05, Avg SSIM: 0.87
Pair 33[3]: Avg MSE: 376.60, Avg SSIM: 0.87
Pair 33[4]: Avg MSE: 385.27, Avg SSIM: 0.87
Pair 33[5]: Avg MSE: 394.53, Avg SSIM: 0.86
Pair 33[6]: Avg MSE: 403.08, Avg SSIM: 0.86
Pair 33[7]: Avg MSE: 413.41, Avg SSIM: 0.86
Pair 33[8]: Avg MSE: 422.64, Avg SSIM: 0.86
Pair 33[9]: Avg MSE: 430.41, Avg SSIM: 0.86
Pair 33[10]: Avg MSE: 437.74, Avg SSIM: 0.86
Pair 34[1]: Avg MSE: 256.11, Avg SSIM: 0.89
Pair 34[2]: Avg MSE: 271.67, Avg SSIM: 0.89
Pair 34[3]: Avg MSE: 287.26, Avg SSIM: 0.89
Pair 34[4]: Avg MSE: 297.78, Avg SSIM: 0.89
Pair 34[5]: Avg MSE: 310.42, Avg SSIM: 0.89
Pair 34[6]: Avg MSE: 324.92, Avg SSIM: 0.89
Pair 34[7]: Avg MSE: 338.39, Avg SSIM: 0.89
Pair 34[8]: Avg MSE: 352.60, Avg SSIM: 0.89
Pair 34[9]: Avg MSE: 362.30, Avg SSIM: 0.89
Pair 34[10]: Avg MSE: 372.66, Avg SSIM: 0.89
Pair 35[1]: Avg MSE: 533.97, Avg SSIM: 0.87
Pair 35[2]: Avg MSE: 554.36, Avg SSIM: 0.87
Pair 35[3]: Avg MSE: 571.37, Avg SSIM: 0.86
Pair 35[4]: Avg MSE: 589.55, Avg SSIM: 0.86
Pair 35[5]: Avg MSE: 609.32, Avg SSIM: 0.86
Pair 35[6]: Avg MSE: 625.85, Avg SSIM: 0.86
Pair 35[7]: Avg MSE: 641.54, Avg SSIM: 0.86
Pair 35[8]: Avg MSE: 659.22, Avg SSIM: 0.86
Pair 35[9]: Avg MSE: 671.92, Avg SSIM: 0.86
Pair 35[10]: Avg MSE: 686.17, Avg SSIM: 0.86
Pair 36[1]: Avg MSE: 437.80, Avg SSIM: 0.90
Pair 36[2]: Avg MSE: 448.40, Avg SSIM: 0.90
Pair 36[3]: Avg MSE: 458.50, Avg SSIM: 0.90
Pair 36[4]: Avg MSE: 469.57, Avg SSIM: 0.90
Pair 36[5]: Avg MSE: 479.35, Avg SSIM: 0.90
Pair 36[6]: Avg MSE: 489.13, Avg SSIM: 0.90
Pair 36[7]: Avg MSE: 499.14, Avg SSIM: 0.90
Pair 36[8]: Avg MSE: 508.76, Avg SSIM: 0.90
Pair 36[9]: Avg MSE: 516.21, Avg SSIM: 0.90
Pair 36[10]: Avg MSE: 524.19, Avg SSIM: 0.89
Pair 37[1]: Avg MSE: 389.92, Avg SSIM: 0.89
Pair 37[2]: Avg MSE: 397.30, Avg SSIM: 0.89
Pair 37[3]: Avg MSE: 404.56, Avg SSIM: 0.89
Pair 37[4]: Avg MSE: 409.35, Avg SSIM: 0.89
Pair 37[5]: Avg MSE: 418.15, Avg SSIM: 0.89
Pair 37[6]: Avg MSE: 428.58, Avg SSIM: 0.89
Pair 37[7]: Avg MSE: 439.81, Avg SSIM: 0.88
Pair 37[8]: Avg MSE: 447.99, Avg SSIM: 0.88
Pair 37[9]: Avg MSE: 454.34, Avg SSIM: 0.88
Pair 37[10]: Avg MSE: 462.49, Avg SSIM: 0.88
Pair 38[1]: Avg MSE: 413.59, Avg SSIM: 0.91
Pair 38[2]: Avg MSE: 430.81, Avg SSIM: 0.91
Pair 38[3]: Avg MSE: 448.91, Avg SSIM: 0.91
Pair 38[4]: Avg MSE: 466.85, Avg SSIM: 0.91
Pair 38[5]: Avg MSE: 483.16, Avg SSIM: 0.91
Pair 38[6]: Avg MSE: 497.63, Avg SSIM: 0.91
Pair 38[7]: Avg MSE: 512.61, Avg SSIM: 0.91
Pair 38[8]: Avg MSE: 525.62, Avg SSIM: 0.91
Pair 38[9]: Avg MSE: 536.79, Avg SSIM: 0.91
Pair 38[10]: Avg MSE: 548.31, Avg SSIM: 0.91
Pair 39[1]: Avg MSE: 212.16, Avg SSIM: 0.93
Pair 39[2]: Avg MSE: 218.56, Avg SSIM: 0.92
Pair 39[3]: Avg MSE: 224.41, Avg SSIM: 0.92
Pair 39[4]: Avg MSE: 229.35, Avg SSIM: 0.92
Pair 39[5]: Avg MSE: 234.98, Avg SSIM: 0.92
Pair 39[6]: Avg MSE: 240.04, Avg SSIM: 0.92
Pair 39[7]: Avg MSE: 245.60, Avg SSIM: 0.92
Pair 39[8]: Avg MSE: 251.27, Avg SSIM: 0.92
Pair 39[9]: Avg MSE: 256.67, Avg SSIM: 0.92
Pair 39[10]: Avg MSE: 260.75, Avg SSIM: 0.92
Pair 40[1]: Avg MSE: 490.47, Avg SSIM: 0.85
Pair 40[2]: Avg MSE: 510.10, Avg SSIM: 0.85
Pair 40[3]: Avg MSE: 533.09, Avg SSIM: 0.85
Pair 40[4]: Avg MSE: 551.52, Avg SSIM: 0.85
Pair 40[5]: Avg MSE: 573.17, Avg SSIM: 0.84
Pair 40[6]: Avg MSE: 594.45, Avg SSIM: 0.84
Pair 40[7]: Avg MSE: 613.98, Avg SSIM: 0.84
Pair 40[8]: Avg MSE: 633.57, Avg SSIM: 0.84
Pair 40[9]: Avg MSE: 648.41, Avg SSIM: 0.84
Pair 40[10]: Avg MSE: 664.45, Avg SSIM: 0.84
